Fichier,Chanteur,Chanson
Gérard Lenorman - Si j'érais président.mp4,Gérard Lenorman,Si j'érais président
Mireille Mathieu - Acropolis Adieu.mp4,Mireille Mathieu,Acropolis Adieu
Elvis Presley - Devil In Disguise.mp4,Elvis Presley,Devil In Disguise
Claude François - Cette année-là.mp4,Claude François,Cette année-là
Les Musclés - Merguez Party.mp4,Les Musclés,Merguez Party
Jay & the Americans - Come A Little Bit Closer.mp4,Jay & the Americans,Come A Little Bit Closer
Régine - La grande Zoa.mp4,Régine,La grande Zoa
Robert Cogoi - Si un jour.mp4,Robert Cogoi,Si un jour
Jeanne Moreau - J'ai la mémoire qui flanche.mp4,Jeanne Moreau,J'ai la mémoire qui flanche
PMV04-12 - Aqua - Turn Back Time.mp4,Aqua,Turn Back Time
Diane Tell - Si j'étais un homme.mp4,Diane Tell,Si j'étais un homme
Sheena Easton - Morning Train (9-5)B.mp4,Sheena Easton,Morning Train (9-5)B
Sandie Shaw - Puppet On A String.mp4,Sandie Shaw,Puppet On A String
The Mormon Choir - Consider the lilies (musicfromrizzo).mp4,The Mormon Choir,Consider the lilies (musicfromrizzo)
Salvatore Adamo - Valse d'été.mp4,Salvatore Adamo,Valse d'été
Lorie - Sur un air latino.mp4,Lorie,Sur un air latino
Village People - YMCA.mp4,Village People,YMCA
Celine Dion - The colour of my love.mp4,Celine Dion,The colour of my love
Peter Frampton - Show me the way (wvocals).mp4,Peter Frampton,Show me the way (wvocals)
Shy'm - Je sais.mp4,Shy'm,Je sais
Gretchen Wilson - Redneck woman.mp4,Gretchen Wilson,Redneck woman
Bee Gees - Love so right.mp4,Bee Gees,Love so right
Olivia Newton John - I wanna get physical.mp4,Olivia Newton John,I wanna get physical
Renan Luce - On n'est pas à une bêtise près .mp4,Renan Luce,On n'est pas à une bêtise près 
Thierry Hazard - Un jour c'est oui un jour c'est non.mp4,Thierry Hazard,Un jour c'est oui un jour c'est non
Perry Como - And I Love You So.mp4,Perry Como,And I Love You So
Julien Clerc - Les bords de mer.mp4,Julien Clerc,Les bords de mer
PMV09-13 - Macy Gray - I Try.mp4,Macy Gray,I Try
The Spaniels - Goodnight sweetheart wvocals.mp4,The Spaniels,Goodnight sweetheart wvocals
Salvatore Adamo - Quand tu reviendras.mp4,Salvatore Adamo,Quand tu reviendras
The Association  - Never My Love.mp4,The Association ,Never My Love
"Florent Pagny - Un jour, une femme.mp4",Florent Pagny,"Un jour, une femme"
Michel Sardou - Etre une femme.mp4,Michel Sardou,Etre une femme
Karaoké Tout le bonheur du monde - Sinsemilia _.mp4,Karaoké Tout le bonheur du monde,Sinsemilia _
Rod Stewart - The First Cut Is The Deepest.mp4,Rod Stewart,The First Cut Is The Deepest
Regg'Lyss - Mets de l'huile.mp4,Regg'Lyss,Mets de l'huile
Sabine Paturel - Les bétises.mp4,Sabine Paturel,Les bétises
Viktor Lazlo - Canoé rose.mp4,Viktor Lazlo,Canoé rose
Willie Nelson - Mamas don't let your babies grow up to be cowboys.mp4,Willie Nelson,Mamas don't let your babies grow up to be cowboys
Mel Tillis - Coca Cola Cowboy.mp4,Mel Tillis,Coca Cola Cowboy
Nolwenn Leroy - Ohwo !.mp4,Nolwenn Leroy,Ohwo !
Salvatore Adamo - Notre roman.mp4,Salvatore Adamo,Notre roman
Johnnu Mathis - It's Not For Me To Say.mp4,Johnnu Mathis,It's Not For Me To Say
The Everly brothers - Let It Be Me.mp4,The Everly brothers,Let It Be Me
Daniel Guichard - Je t'aime tu vois.mp4,Daniel Guichard,Je t'aime tu vois
Keen'V - Un monde meilleur.mp4,Keen'V,Un monde meilleur
Johnny Hallyday - Drôle de métier.mp4,Johnny Hallyday,Drôle de métier
Patsy Cline - Sweet dreams.mp4,Patsy Cline,Sweet dreams
Enrico Macias - Un berger vient de tomber.mp4,Enrico Macias,Un berger vient de tomber
Tino Rossi - La cucaracha .mp4,Tino Rossi,La cucaracha 
Michel Sardou - L'an mil.mp4,Michel Sardou,L'an mil
Johnny Mathis - Wonderful Wonderful.mp4,Johnny Mathis,Wonderful Wonderful
Eddy Mitchell - Pas de boogie woogie.mp4,Eddy Mitchell,Pas de boogie woogie
Billy Ocean - Love Is Forever.mp4,Billy Ocean,Love Is Forever
"Gospel - Lord, I lift your name on high.mp4",Gospel,"Lord, I lift your name on high"
Dean Martin - I'd like to get you on a slow boat to China.mp4,Dean Martin,I'd like to get you on a slow boat to China
Garou - Seul.mp4,Garou,Seul
Showtunes - (My fair lady) I could have danced all night wvocals.mp4,Showtunes,(My fair lady) I could have danced all night wvocals
Spanish - (Julio Iglesias) Caminito.mp4,Spanish,(Julio Iglesias) Caminito
Michel Sardou - Un enfant.mp4,Michel Sardou,Un enfant
Celine dion - Have You Ever Been In Love.mp4,Celine dion,Have You Ever Been In Love
Mylène Farmer - Rêver.mp4,Mylène Farmer,Rêver
Peabo Bryson & Roberta Flack - Tonight I celebrate my love for you.mp4,Peabo Bryson & Roberta Flack,Tonight I celebrate my love for you
Monty Python - I've got a lovely bunch of coconuts.mp4,Monty Python,I've got a lovely bunch of coconuts
Louis Armstrong - When You Wish Upon A Star.mp4,Louis Armstrong,When You Wish Upon A Star
PMV06-11 - Emilia - Big Big World.mkv,Emilia,Big Big World
Lio - Je casse tout ce que je touche.mp4,Lio,Je casse tout ce que je touche
Philippe Lavil - Kolé séré (avec  Jocelyne Béroard) .mp4,Philippe Lavil,Kolé séré (avec  Jocelyne Béroard) 
Tony Orlando & Dawn - Tie a yellow ribbon.mp4,Tony Orlando & Dawn,Tie a yellow ribbon
Marcie Blaine - Bobby's girl.mp4,Marcie Blaine,Bobby's girl
Lara Fabian - I Will Love Again.mp4,Lara Fabian,I Will Love Again
"Luis Mariano - Maman, la plus belle du monde.mp4",Luis Mariano,"Maman, la plus belle du monde"
Jean-Jacques Goldman   - Etre le premier.mp4,Jean-Jacques Goldman  ,Etre le premier
Lara Fabian - Tu es mon autre (avec Maurane).mp4,Lara Fabian,Tu es mon autre (avec Maurane)
Joe Dassin - Il était une fois nous deux.mp4,Joe Dassin,Il était une fois nous deux
Stéphanie de Monaco - Ouragan.mp4,Stéphanie de Monaco,Ouragan
Lina Margy - Tout ça n'vaut pas l'amour.mp4,Lina Margy,Tout ça n'vaut pas l'amour
Children's - On Top Of Old Smoky.mp4,Children's,On Top Of Old Smoky
Téléphone - Ça (c'est vraiment toi).mp4,Téléphone,Ça (c'est vraiment toi)
Bernard Lavilliers - Stand the ghetto.mp4,Bernard Lavilliers,Stand the ghetto
Serge Reggiani - Argentine.mp4,Serge Reggiani,Argentine
Standards - Happy Days Are Here Again (wvocals).mp4,Standards,Happy Days Are Here Again (wvocals)
Edith Piaf - Mon manège à moi (Tu me fais tourner la tête).mp4,Edith Piaf,Mon manège à moi (Tu me fais tourner la tête)
Patriotic - (British) It's a long way to tipperary.mp4,Patriotic,(British) It's a long way to tipperary
Celine Dion - My heart will go on wvocal.mp4,Celine Dion,My heart will go on wvocal
Mickey Gilley - True Love Ways.mp4,Mickey Gilley,True Love Ways
Florent Pagny - Ca fait des nuits.mp4,Florent Pagny,Ca fait des nuits
Joyce Jonathan - Le bonheur.mp4,Joyce Jonathan,Le bonheur
Fleetwood Mac - Sara.mp4,Fleetwood Mac,Sara
Thierry Pastor - Sur des musiques noires.mp4,Thierry Pastor,Sur des musiques noires
Luciano Pavarotti - O sole mio.mp4,Luciano Pavarotti,O sole mio
OFKCAR002-05 - Carpenters - I Won't Last Day Without You w~mpex.mkv,Carpenters,I Won't Last Day Without You w~mpex
Line Renaud - Ma cabane au Canada.mp4,Line Renaud,Ma cabane au Canada
PMV09-07 - Aaliyah - Try Again.mp4,Aaliyah,Try Again
Children's Fun - If You're Happy And You Know It.mp4,Children's Fun,If You're Happy And You Know It
Julie London - You'd be so nice to come home to.mp4,Julie London,You'd be so nice to come home to
Spanish - Heroe (Enrique Iglesias).mp4,Spanish,Heroe (Enrique Iglesias)
Gospel - What a friend we have in Jesus wvocals.mp4,Gospel,What a friend we have in Jesus wvocals
Mickey 3D - Respire.mp4,Mickey 3D,Respire
Julien Clerc - Nouveau big bang.mp4,Julien Clerc,Nouveau big bang
Jacques Dutronc - Mode d'emploi.mp4,Jacques Dutronc,Mode d'emploi
Lââm - Jamais loin de toi.mp4,Lââm,Jamais loin de toi
Bénabar - Dis lui oui.mp4,Bénabar,Dis lui oui
Tal - Je prends le large.mp4,Tal,Je prends le large
Dalida - Gigi Lamoroso.mp4,Dalida,Gigi Lamoroso
Charles Dumont - Mon dieu.mp4,Charles Dumont,Mon dieu
Otis Day & The Knights - Shout.mp4,Otis Day & The Knights,Shout
MPV16-09 - N Sync - Gone.mp4,N Sync,Gone
Roch Voisine - Tant pis.mp4,Roch Voisine,Tant pis
Petula Clark - Dans le temps.mp4,Petula Clark,Dans le temps
Johnny Hallyday - Madison Twist.mp4,Johnny Hallyday,Madison Twist
DEK0536-03 - Everly Bros - Bye Bye Love.mkv,Everly Bros,Bye Bye Love
Hall & Oates - Private Eyes.mp4,Hall & Oates,Private Eyes
Pierre Bachelet - L'atlantique.mp4,Pierre Bachelet,L'atlantique
Starmania - Les adieux d'un sex-symbol [BDFab].avi,Starmania,Les adieux d'un sex-symbol [BDFab]
Mac Davis - I believe in music.mp4,Mac Davis,I believe in music
Alabama - Why Lady Why.mp4,Alabama,Why Lady Why
Lonestar - Amazed wvocal.mp4,Lonestar,Amazed wvocal
Amy Grant - (with Peter Cetera) Next time I fall in love (duet) (SC).mp4,Amy Grant,(with Peter Cetera) Next time I fall in love (duet) (SC)
James & bobby Purify - I'm Your Puppet.mp4,James & bobby Purify,I'm Your Puppet
Roger Williams - Autumn leaves.mp4,Roger Williams,Autumn leaves
"Gospel - Holy, holy, holy.mp4",Gospel,"Holy, holy, holy"
Véronique Sanson - Visiteur et voyageur.mp4,Véronique Sanson,Visiteur et voyageur
Vianney - Sans le dire.mp4,Vianney,Sans le dire
Georges Brassens - La chasse aux papillons.mp4,Georges Brassens,La chasse aux papillons
Dionne Warwick - What the world needs now is love wvocal.mp4,Dionne Warwick,What the world needs now is love wvocal
Gospel - Amazing grace.mp4,Gospel,Amazing grace
Lara Fabian - Entre nous.mp4,Lara Fabian,Entre nous
Gilbert Bécaud - C'est en septembre.mp4,Gilbert Bécaud,C'est en septembre
Les Miserables - Master Of The House.mp4,Les Miserables,Master Of The House
Raft - Yaka danse.mp4,Raft,Yaka danse
Jane Birkin - Ex fan des sixties.mp4,Jane Birkin,Ex fan des sixties
Whitney Houston - Where do broken hearts go wvocal.mp4,Whitney Houston,Where do broken hearts go wvocal
Bobby Vinton - Roses are red my love.mp4,Bobby Vinton,Roses are red my love
Patrick Sébastien - Aka Aleo.mp4,Patrick Sébastien,Aka Aleo
Pierre Bachelet - La fille solitaire.mp4,Pierre Bachelet,La fille solitaire
Judy Garland - Somewhere Over The Rainbow.mp4,Judy Garland,Somewhere Over The Rainbow
La Compagnie Créole - Aïe.mp4,La Compagnie Créole,Aïe
Italian - Torna a surriento wvocal.mp4,Italian,Torna a surriento wvocal
Bee Gees - How deep is your love wvocals.mp4,Bee Gees,How deep is your love wvocals
Christopher Cross - Arthur's theme.mp4,Christopher Cross,Arthur's theme
Al Jolson - You made me love you.mp4,Al Jolson,You made me love you
Florent Pagny - Savoir aimer  .mp4,Florent Pagny,Savoir aimer  
Frank Sinatra - The lady is a tramp.mp4,Frank Sinatra,The lady is a tramp
The Everly Brothers - Bye Bye Love.mp4,The Everly Brothers,Bye Bye Love
Tony Bennett - Because of you.mp4,Tony Bennett,Because of you
Vanessa Paradis - Le tourbillon.mp4,Vanessa Paradis,Le tourbillon
Richard Anthony - Ecoute dans le vent.mp4,Richard Anthony,Ecoute dans le vent
Jacques Higelin - Tête en l'air.mp4,Jacques Higelin,Tête en l'air
Séverine - La sympathie.mp4,Séverine,La sympathie
Etienne Daho - Comme un boomerang (avec Dani).mp4,Etienne Daho,Comme un boomerang (avec Dani)
Francis Lemarque - Bal petit bal.mp4,Francis Lemarque,Bal petit bal
Kenny Rogers  - (with Dottie West)  All I Ever Need Is You.mp4,Kenny Rogers ,(with Dottie West)  All I Ever Need Is You
Conway Twitty - Slow hand.mp4,Conway Twitty,Slow hand
Jacques Dutronc - Mini mini.mp4,Jacques Dutronc,Mini mini
Serge Lama - Les glycines.mp4,Serge Lama,Les glycines
Julio Iglesias - Il faut toujours un perdant.mp4,Julio Iglesias,Il faut toujours un perdant
Roberta Flack - The first time ever I saw your face.mp4,Roberta Flack,The first time ever I saw your face
Richard Anthony - Minuit.mp4,Richard Anthony,Minuit
Dean Martin - My kind of girl wvocals.mp4,Dean Martin,My kind of girl wvocals
Julio Iglesias - Nostalgie (Nathalie).mp4,Julio Iglesias,Nostalgie (Nathalie)
Rod Stewart (Van Morrison song) - Have I Told You Lately.mp4,Rod Stewart (Van Morrison song),Have I Told You Lately
Calogero - Je joue de la musique.mp4,Calogero,Je joue de la musique
Traditional (Australian) - Tie me kangaroo down sport.mp4,Traditional (Australian),Tie me kangaroo down sport
Frédéric François - Chicago.mp4,Frédéric François,Chicago
Grease - 15 Hopelessly Devoted To You -  (wvocals).mp4,15 Hopelessly Devoted To You, (wvocals)
Billy Joel - Tell Her About It.mp4,Billy Joel,Tell Her About It
Phil Collins - A Groovy Kind Of Love.mp4,Phil Collins,A Groovy Kind Of Love
Mike Brant - On se retrouve par hasard.mp4,Mike Brant,On se retrouve par hasard
Les Chats Sauvages - Twist à Saint-Tropez.mp4,Les Chats Sauvages,Twist à Saint-Tropez
Richard Anthony - Donne-moi ma chance.mp4,Richard Anthony,Donne-moi ma chance
Pierre Perret - Cuisse de mouche.mp4,Pierre Perret,Cuisse de mouche
Shy'm - Je suis moi.mp4,Shy'm,Je suis moi
Angèle - Balance ton quoi.mp4,Angèle,Balance ton quoi
The Hues Corporation - Rock the boat.mp4,The Hues Corporation,Rock the boat
Rosemary Clooney - Mambo Italiano.mp4,Rosemary Clooney,Mambo Italiano
Lionel Richie - Stuck On You.mp4,Lionel Richie,Stuck On You
Doris Day - It's Magic.mp4,Doris Day,It's Magic
Lou Bega - Mambo Number 5.mp4,Lou Bega,Mambo Number 5
Renee & Renato - Save your love.mp4,Renee & Renato,Save your love
Spanish - (Camilo Sesto)  Algo De Mi.mp4,Spanish,(Camilo Sesto)  Algo De Mi
Nicolas Peyrac - Et mon père.mp4,Nicolas Peyrac,Et mon père
Dean Martin - Non dimenticar.mp4,Dean Martin,Non dimenticar
Dolly Parton - Daddy Was An Old Time Preacher Man.mp4,Dolly Parton,Daddy Was An Old Time Preacher Man
Lorie - A 20 ans.mp4,Lorie,A 20 ans
Georgette Plana - Riquita.mp4,Georgette Plana,Riquita
Elvis Presley - Blue suede shoes.mp4,Elvis Presley,Blue suede shoes
The Tremeloes  - Silence Is Golden.mp4,The Tremeloes ,Silence Is Golden
Salvatore Adamo - Sans toi mamie.mp4,Salvatore Adamo,Sans toi mamie
Renaud - Toujours debout.mp4,Renaud,Toujours debout
The Doobie Brothers - Listen to the music.mp4,The Doobie Brothers,Listen to the music
Diana Ross & The Supremes - Someday We'll Be Together.mp4,Diana Ross & The Supremes,Someday We'll Be Together
Julio Iglesias - Le monde est fou le monde est beau.mp4,Julio Iglesias,Le monde est fou le monde est beau
Elvis Presley - I Believe.mp4,Elvis Presley,I Believe
Enrique Iglesias - Bailamos.mp4,Enrique Iglesias,Bailamos
DEK0536-06 - Everly Bros - Wake Up Little Susie.mkv,Everly Bros,Wake Up Little Susie
"The Four Tops - Shake Me, Wake Me (When It's Over).mp4",The Four Tops,"Shake Me, Wake Me (When It's Over)"
Irish - (paddy oke) Spancil Hill.mp4,Irish,(paddy oke) Spancil Hill
Gospel - It is well with my soul excluding vocals.mp4,Gospel,It is well with my soul excluding vocals
Danyel Gérard - Le gypsy.mp4,Danyel Gérard,Le gypsy
Michel Sardou - La première fois qu'on s'aimera (avec Sylvie Vartan).mp4,Michel Sardou,La première fois qu'on s'aimera (avec Sylvie Vartan)
Tony Bennett - How Do You Keep The Music Playing.mp4,Tony Bennett,How Do You Keep The Music Playing
Mika - Elle me dit.mp4,Mika,Elle me dit
Emmanuel Moire - La vie ailleurs.mp4,Emmanuel Moire,La vie ailleurs
MPV16-02 - Michael Jackson - You Rock My World.mp4,Michael Jackson,You Rock My World
"François Deguelt - Le ciel, le soleil et la mer.mp4",François Deguelt,"Le ciel, le soleil et la mer"
Dario Moreno - La marmite.mp4,Dario Moreno,La marmite
Eddy Mitchell - Et la voix d'Elvis.mp4,Eddy Mitchell,Et la voix d'Elvis
Sacha Distel - Le soleil de ma vie.mp4,Sacha Distel,Le soleil de ma vie
Kids United - J'ai demandé à la lune.mp4,Kids United,J'ai demandé à la lune
Dean Martin - Innamorata  wvocals.mp4,Dean Martin,Innamorata  wvocals
Pierre Bachelet - Les corons.mp4,Pierre Bachelet,Les corons
Michel Sardou - Les vieux mariés.mp4,Michel Sardou,Les vieux mariés
Bryn Terfel - Some enchanted evening wvocal.mp4,Bryn Terfel,Some enchanted evening wvocal
Georges Brassens - Chanson pour l'auvergnat.mp4,Georges Brassens,Chanson pour l'auvergnat
Robert Goulet - If ever I would leave you (DK).mp4,Robert Goulet,If ever I would leave you (DK)
Kendji Girac Pour oublier.mp4,Kendji Girac Pour oublier.mp4,
Johnny Hallyday - J'la croise tous les matins.mp4,Johnny Hallyday,J'la croise tous les matins
"Tri Yann - La jument de Michao (Le loup, le renard et la belette).mp4",Tri Yann,"La jument de Michao (Le loup, le renard et la belette)"
Dean Martin - My heart cries for you.mp4,Dean Martin,My heart cries for you
Florent Pagny - Combien de gens.mp4,Florent Pagny,Combien de gens
Paul Anka - Having My Baby.mp4,Paul Anka,Having My Baby
Renaud - Le petit chat est mort.mp4,Renaud,Le petit chat est mort
Mika - Boum Boum Boum.mp4,Mika,Boum Boum Boum
Juliette Gréco - Un petit oiseau.mp4,Juliette Gréco,Un petit oiseau
Tino Rossi - Méditerranée.mp4,Tino Rossi,Méditerranée
Ronnie Milsap - It was almost like a song.mp4,Ronnie Milsap,It was almost like a song
England Dan & John Ford Coly - Nights are forever without you.mp4,England Dan & John Ford Coly,Nights are forever without you
Pointer Sisters - He's So Shy.mp4,Pointer Sisters,He's So Shy
Andrew Lloyd Webber - All I ask of you.mp4,Andrew Lloyd Webber,All I ask of you
Salvatore Adamo - Le ruisseau de mon enfance.mp4,Salvatore Adamo,Le ruisseau de mon enfance
Bob Seger - We've got tonight.mp4,Bob Seger,We've got tonight
Standards - When the saints go marching in.mp4,Standards,When the saints go marching in
Faith Hill - There you'll be.mp4,Faith Hill,There you'll be
Edith Piaf - Mon légionnaire.mp4,Edith Piaf,Mon légionnaire
Pigloo - Le papa pinguin.mp4,Pigloo,Le papa pinguin
Serge Reggiani - Je t'aime.mp4,Serge Reggiani,Je t'aime
Vianney - Je m'en vais.mp4,Vianney,Je m'en vais
Dean Martin - Volare Nel Blu Dipinto Di Blu.mp4,Dean Martin,Volare Nel Blu Dipinto Di Blu
Michel Polnareff - Tous les bateaux tous les oiseaux.mp4,Michel Polnareff,Tous les bateaux tous les oiseaux
Foreigner - I want to know what love is.mp4,Foreigner,I want to know what love is
Irish - Song For Ireland.mp4,Irish,Song For Ireland
Gospel - What a friend we have in Jesus.mp4,Gospel,What a friend we have in Jesus
Traditional - April In Paris.mp4,Traditional,April In Paris
Henri Salvador - Une chanson douce.mp4,Henri Salvador,Une chanson douce
Michel Jonasz - Les vacances au bord de mer.mp4,Michel Jonasz,Les vacances au bord de mer
Bourvil - A Joinville-le-Pont.mp4,Bourvil,A Joinville-le-Pont
The Honeydrippers - Sea Of Love.mp4,The Honeydrippers,Sea Of Love
Karaoké Mais qui est la belette _ - Manau _.mp4,Karaoké Mais qui est la belette _,Manau _
Sylvie Vartan - Dilindam.mp4,Sylvie Vartan,Dilindam
Dr. Hook - Better Love Next Time.mp4,Dr. Hook,Better Love Next Time
Johnny Hallyday - Retiens la nuit (Live).mp4,Johnny Hallyday,Retiens la nuit (Live)
"Mike Brant - Tout donné, tout repris.mp4",Mike Brant,"Tout donné, tout repris"
Tony Bennett - On the sunny side of the street - Jazz cabaret wvocals.mp4,On the sunny side of the street,Jazz cabaret wvocals
Images - Maîtresse.mp4,Images,Maîtresse
Traditional - Take Me Out To The Ballgame (wvocals).mp4,Traditional,Take Me Out To The Ballgame (wvocals)
Children's -London Bridge.mp4,Children's -London Bridge.mp4,
Loretta Lynn - Coalminer's daughter.mp4,Loretta Lynn,Coalminer's daughter
